ItemType,Title,Author,AccessionedDate,OwningLibrary,ReplacementPrice,MissingStatus,MissingDate,CallNumber,PageCount,ItemSize,DateLastBorrowed,Genre,ShelvingLocation,
AUDBOOK,Brian's hunt,"Paulsen, Gary.",2/7/04,ACL,23,4,5/18/19 14:36,Y AudCs Pau,"2 sound cassettes (2 hrs., 33 min.) :",,5/18/19,Fiction,YoungAdult,
BOOK,Sam's opposites /,"Got, Yves.",11/1/04,ACL,14.95,4,2/25/19 16:27,JE Got,1 v. (unpaged) :,17 cm.,2/25/19,Fiction,JuvenileEasies,
BOOK,Native Americans.,,11/29/04,ACL,15,4,3/27/19 11:10,299.7 Nat,1 v. (unpaged) :,14 cm.,3/27/19,NonFiction,Adult,
CDBOOK,The castle in the attic,"Winthrop, Elizabeth.",5/28/05,ACL,19.99,4,6/20/19 16:04,J CDBook Win,"3 sound discs (3 hrs., 30 mins.) :",4 3/4 in.,6/20/19,Fiction,JuvenileAV,
BOOK,Dinosaurs galore! /,"Andreae, Giles,",8/4/05,ACL,21.95,4,3/30/19 15:17,JE And,1 v. (unpaged) :,31 cm.,3/30/19,Fiction,JuvenileEasies,
PB,Batman :,"Grayson, Devin K.",6/21/06,ACL,6.99,4,5/2/19 10:13,J Fic Gra,40 p. :,23 cm.,5/2/19,Fiction,Juvenile,
DVD,Star trek V,,8/1/06,ACL,24.95,4,2/21/19 10:50,DVD Feature films Sta,2 videodiscs (106 min.) :,4 3/4 in.,2/21/19,Fiction,AdultAV,AudioVisual
BOOK,Beautiful boy :,"Sheff, David.",2/28/08,ACL,29,4,3/27/19 11:11,362.299 She,326 p. ;,22 cm.,3/27/19,NonFiction,Adult,
BOOK,Collected stories of /,"Bunin, Ivan Alekseevich,",8/30/07,ACL,24.95,4,4/19/19 11:17,Fic Bun,"xx, 377 p. ;",23 cm.,4/19/19,Fiction,Adult,
AUDBOOK,The icebound land,"Flanagan, John",10/17/07,ACL,72.75,4,6/20/19 15:51,Y AudCs Fla,"8 sound cassettes (8 hrs., 45 min.) :",,6/20/19,Fiction,YoungAdultAV,
BOOK,Sculpting her body perfect /,"Schoenfeld, Brad,",11/20/07,ACL,24.95,4,6/27/19 12:40,613.71082 Sch,"xvii, 237 p. :",28 cm. +,6/27/19,NonFiction,Adult,
BOOK,New collected poems /,"Boland, Eavan.",3/21/08,ACL,32.95,4,3/22/19 14:57,821.914 Bol,320 p. ;,25 cm.,3/22/19,NonFiction,Adult,
BOOK,The sign /,"Khoury, Raymond.",6/10/09,ACL,31.95,4,4/19/19 11:15,Fic Kho,464 p. ;,24 cm.,4/19/19,Fiction,Adult,
BOOK,"Hush, hush /","Fitzpatrick, Becca.",12/7/11,ACL,18.95,4,7/3/19 12:54,Y Fic Fit,391 p. ;,22 cm.,7/3/19,Fiction,YoungAdult,
BOOK,The huckleberry murders :,"McManus, Patrick F.",11/3/10,ACL,31,4,2/2/19 14:49,Fic McM,260 p. ;,23 cm.,2/2/19,Fiction,Adult,
DVD,A kid in King Arthur's court,,8/3/11,ACL,19.99,4,4/16/19 15:20,DVD Feature films Kid,1 videodisc (90 min.) :,4 3/4 in.,4/16/19,Fiction,AdultAV,
PB,The ideal man /,"Garwood, Julie.",9/5/12,ACL,10.99,4,3/12/19 16:11,Pb Fic Gar,344 p. ;,18 cm.,3/12/19,Fiction,PocketBook,
BOOK,Antifragile :,"Taleb, Nassim.",12/19/12,ACL,35,4,4/3/19 13:33,155.24 Tal,"xxi, 519 p. :",25 cm.,4/3/19,NonFiction,Adult,
BOOK,The horse in my garage and other stories /,"McManus, Patrick F.",1/10/13,ACL,29.95,4,6/21/19 14:33,818.5402 McM,207 p. ;,22 cm.,6/21/19,NonFiction,Adult,
BOOK,Underwater dogs /,"Casteel, Seth.",1/24/13,ACL,24.99,4,1/18/19 16:23,779.32977 Cas,132 pages :,22 x 27 cm,1/18/19,NonFiction,Adult,
BBOOK,Numbers,,1/30/13,ACL,7.95,4,5/2/19 10:14,JE BB Num,1 v. (unpaged) :,16 cm.,5/2/19,Fiction,JuvenileEasies,
BOOK,The drunken botanist :,"Stewart, Amy.",4/10/13,ACL,24.95,4,5/22/19 10:40,581.632 Ste,"xv, 381 p. :",21 cm.,5/22/19,NonFiction,Adult,
BBOOK,Butterfly colors and counting ,"Pallotta, Jerry.",6/13/13,ACL,8.95,4,5/18/19 14:36,JE BB Pal,1 v. (unpaged) :,15 x 18 cm.,5/18/19,Fiction,JuvenileEasies,
DVD,Django unchained,,7/3/13,ACL,24.98,4,1/14/19 16:52,DVD Feature films Dja,1 videodisc (166 min.) :,4 3/4 in.,1/14/19,Fiction,AdultAV,
